id,title,severity,active,verified,is_mitigated,false_p,cwe,test,found_by,sla_days_remaining,sla_expiration_date,created
1378,GHSA-23c5-xmqv-rm74 in minimatch:3.1.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.716665Z
1379,GHSA-23c5-xmqv-rm74 in minimatch:5.1.6,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.728960Z
1380,GHSA-23c5-xmqv-rm74 in minimatch:9.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.740054Z
1381,GHSA-hjrf-2m68-5959 in jsonwebtoken:0.1.0,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.754271Z
1382,GHSA-hjrf-2m68-5959 in jsonwebtoken:0.4.0,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.772713Z
1383,GHSA-5j98-mcp5-4vw2 in glob:10.4.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.784229Z
1384,CVE-2026-21637 in node:22.18.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.795527Z
1385,CVE-2025-55131 in node:22.18.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.806713Z
1386,GHSA-qhxp-v273-g94h in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.816300Z
1387,GHSA-vj76-c3g6-qr5v in tar-fs:2.1.3,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.826775Z
1388,CVE-2010-4756 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.837277Z
1389,GHSA-9965-vmph-33xx in validator:13.15.15,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.846336Z
1390,CVE-2025-9230 in libssl3:3.0.17-1~deb12u2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.856583Z
1391,CVE-2019-1010023 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.866714Z
1392,CVE-2025-59466 in node:22.18.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.878190Z
1393,GHSA-xxjr-mmjv-4gpg in lodash:4.17.21,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.887876Z
1394,CVE-2026-0915 in libc6:2.36-9+deb12u10,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.899251Z
1395,GHSA-w7fw-mjwx-w883 in qs:6.13.0,Low,True,False,False,False,0,5,[12],120,2026-08-11,2026-04-13T17:10:59.908888Z
